STITCH,Gene
413,4253
413,16132
413,6846
413,3701
413,10886
413,2744
413,5018
413,5663
413,5664
413,11919
413,5662
413,5665
413,5666
413,2565
413,754
413,753
413,2688
413,2689
413,1331
413,1330
413,1080
413,4186
413,1078
413,18485
413,2853
413,2852
413,4215
413,2008
413,4850
413,3704
413,3703
413,9184
413,6053
413,7028
413,749
413,750
413,3061
413,745
413,15742
413,1117
413,751
413,3082
413,4855
413,3086
413,3083
413,4854
413,8422
413,4856
413,4853
413,4859
413,3094
413,12676
413,5051
413,17538
413,2004
413,5808
413,3702
413,3707
413,9188
413,2006
413,6852
413,10354
413,10671
413,1171
413,9193
321,1822
321,758
321,3383
321,756
321,3089
321,1834
321,3086
321,3083
321,4458
321,5457
321,5287
321,3094
321,3078
268,1614
268,18384
268,2679
268,2677
268,2674
268,2675
268,2672
268,16277
268,743
268,744
268,740
268,8731
268,7505
268,7503
268,4252
268,4256
268,8710
268,4255
268,13932
268,4188
268,12977
268,2680
268,11115
268,11154
268,4187
268,16313
268,16312
268,8871
268,8872
268,6736
268,12629
268,8873
268,7417
268,5066
268,17657
268,2635
268,19150
268,8813
268,17687
268,12657
268,14184
268,3026
268,12529
268,2659
268,16217
268,2070
268,19657
268,1593
268,1589
268,2005
268,1591
268,1592
268,1597
268,2668
268,2667
268,2666
268,2664
268,2663
268,2662
268,10528
268,2534
268,4855
268,4857
268,4458
268,1599
268,7131
268,3079
268,10670
268,3078
268,1121
268,2687
268,19360
268,3080
268,9296
268,756
268,6506
268,10771
268,755
268,5458
268,758
268,7300
268,3415
268,19510
268,4135
268,4692
268,3088
268,3089
268,3090
268,782
268,783
268,781
268,2486
268,7508
268,4282
268,17725
268,4253
268,16132
268,6846
268,3701
268,10886
268,2744
268,5018
268,5663
268,5664
268,11919
268,5662
268,5665
268,5666
268,2565
268,754
268,753
268,2688
268,2689
268,1331
268,1330
268,1080
268,4186
268,1078
268,18485
268,2853
268,2852
268,4215
268,2008
268,4850
268,3704
268,3703
268,9184
268,6053
268,7028
268,1834
268,749
268,750
268,3061
268,745
268,15742
268,1117
268,751
268,3082
268,3081
268,3086
268,3083
268,4854
268,8422
268,4856
268,4853
268,4859
268,3094
268,12676
268,5051
268,17538
268,2004
268,5808
268,3702
268,3707
268,9188
268,2006
268,6852
268,10354
268,10671
268,1171
268,9193
6,14132
6,1294
6,5500
6,9220
6,8651
6,7175
342,18894
342,17708
342,17121
342,17122
342,17001
342,8706
342,3585
342,11312
342,14247
342,5199
342,3323
342,16956
342,15367
342,5036
342,12985
342,17258
342,6298
342,17265
342,15550
342,14583
342,3563
342,15739
342,15481
342,15736
342,3321
342,12633
342,16233
342,17364
342,17370
342,5701
342,5700
342,5698
342,8939
342,11276
342,11275
342,5705
342,4137
342,13915
342,17092
342,4933
342,3398
342,19238
342,3400
342,837
342,838
342,839
342,3994
342,3897
342,843
342,844
342,845
342,846
342,3317
342,11744
342,18094
342,13495
342,13486
342,7982
342,13078
342,9031
342,18910
342,10421
342,15597
342,19296
342,3789
342,6522
342,17968
342,7479
342,18437
342,17967
342,12027
342,718
342,719
342,12020
342,710
342,711
342,17844
342,717
342,17846
342,15613
342,9838
342,2169
342,10888
342,14556
342,7581
342,10892
342,9834
342,11471
342,10221
342,13391
342,3687
342,18393
342,10021
342,8681
342,5868
342,8495
342,16171
342,7541
342,2501
342,9083
342,2590
342,11995
342,8468
342,8467
342,8466
342,7795
342,8139
342,2521
342,11199
342,6302
342,6089
342,11196
342,6088
342,5187
342,9039
342,14697
342,12976
342,2558
342,2559
342,13051
342,13786
342,19462
342,4497
342,18241
342,7906
342,12772
342,8622
342,10278
342,2125
342,2124
342,2126
342,8226
342,8223
342,8222
342,8221
342,1880
342,7427
342,2975
342,10648
342,9793
342,14750
342,12379
342,7153
342,1081
342,11682
342,11817
342,8457
342,6396
342,6395
342,6394
342,5940
342,5943
342,5936
342,5938
342,5939
342,5933
342,10756
342,17740
342,10503
342,11815
342,10502
342,12152
342,3772
342,4685
342,4684
342,4683
342,4682
342,4688
342,4687
342,4686
342,4690
342,10336
342,1624
342,1627
342,7058
342,7036
342,6276
342,1623
342,9119
342,13469
342,1629
342,1628
342,13465
342,15433
342,1840
342,7092
342,1178
342,1837
342,1174
342,1835
342,14284
342,1839
342,1838
342,1667
342,18946
342,6772
342,12675
342,13969
342,15873
342,11716
342,6910
342,1322
342,12673
342,9721
342,16787
342,6244
342,6241
342,17994
342,4765
342,13852
342,6857
342,6858
342,16197
342,9345
342,6400
342,6401
342,6402
342,951
342,2599
342,6408
342,16196
342,3451
342,3452
342,12545
342,14007
342,3449
342,14973
342,9426
342,3589
342,14234
342,3591
342,3590
342,3592
342,15733
342,13664
342,15729
342,15730
342,15731
342,931
342,930
342,1266
342,15565
342,6311
342,928
342,18185
342,929
342,17251
342,16908
342,15746
342,17385
342,9346
342,942
342,941
342,6070
342,950
342,16693
342,2367
342,5690
342,4067
342,4066
342,5694
342,11281
342,11277
342,4060
342,4062
342,4061
342,18433
342,14068
342,19610
342,2392
342,9218
342,3371
342,3372
342,3369
342,19366
342,3367
342,3368
342,3365
342,11051
342,3364
342,3966
342,3967
342,3968
342,3969
342,3971
342,3972
342,3973
342,3974
342,14948
342,16027
342,13477
342,7972
342,2340
342,18501
342,13482
342,6422
342,18568
342,15589
342,19052
342,18403
342,19276
342,6277
342,15596
342,7478
342,3816
342,17921
342,7717
342,17922
342,15896
342,789
342,774
342,773
342,772
342,3330
342,3331
342,2179
342,2181
342,2186
342,10019
342,3332
342,9635
342,3333
342,6557
342,7603
342,6560
342,8675
342,5015
342,7538
342,7534
342,8276
342,12930
342,11930
342,11400
342,11936
342,19436
342,8481
342,11937
342,7794
342,7791
342,19167
342,13158
342,15401
342,16663
342,10656
342,19263
342,13256
342,2566
342,16326
342,6514
342,10854
342,11158
342,10677
342,5711
342,5717
342,10679
342,9618
342,14801
342,6134
342,18553
342,8214
342,3370
342,2105
342,1870
342,2107
342,14729
342,17907
342,13138
342,10243
342,12103
342,6666
342,14354
342,11869
342,12834
342,9244
342,12141
342,9685
342,6631
342,14749
342,7570
342,1822
342,1823
342,1821
342,1825
342,7044
342,11814
342,1074
342,18707
342,1075
342,11816
342,12662
342,6343
342,11178
342,6344
342,6341
342,6578
342,6894
342,14848
342,15848
342,5975
342,6234
342,8997
342,8996
342,6238
342,4757
342,6339
342,13547
342,965
342,966
342,11791
342,961
342,962
342,963
342,10594
342,13335
342,14129
342,4837
342,14977
342,8325
342,2609
342,13823
342,993
342,995
342,997
342,13822
342,13438
342,10589
342,6321
342,16183
342,15539
342,14788
342,15942
342,16727
342,4483
342,17382
342,16915
342,17384
342,5922
342,19717
342,7700
342,933
342,935
342,936
342,938
342,939
342,940
342,17645
342,3904
342,4481
342,15965
342,12790
342,4482
342,4084
342,17146
342,4947
342,4950
342,4948
342,4949
342,4952
342,4953
342,13899
342,3374
342,3373
342,3375
342,3378
342,3377
342,19356
342,3977
342,3976
342,3981
342,4574
342,2282
342,3978
342,826
342,12864
342,2285
342,10230
342,18146
342,2293
342,14524
342,10210
342,11209
342,4634
342,19284
342,3504
342,7681
342,7687
342,14568
342,17007
342,6501
342,15535
342,9408
342,5240
342,10877
342,4136
342,4139
342,4138
342,3319
342,3318
342,3896
342,13410
342,7582
342,7583
342,13023
342,5182
342,5183
342,2589
342,16175
342,2591
342,2585
342,2281
342,8289
342,9334
342,2592
342,11260
342,17766
342,14501
342,17302
342,16867
342,4310
342,4311
342,10760
342,4306
342,7431
342,3836
342,17995
342,16697
342,16695
342,12936
342,10836
342,15013
342,11164
342,8574
342,7926
342,18529
342,8571
342,8572
342,8573
342,10965
342,8682
342,7511
342,10971
342,10025
342,2114
342,2113
342,7177
342,1267
342,1269
342,7173
342,5136
342,2040
342,12902
342,16180
342,4643
342,18386
342,4639
342,10247
342,10248
342,669
342,8332
342,1971
342,1970
342,4485
342,2779
342,4479
342,4480
342,1969
342,11512
342,9476
342,5917
342,5920
342,16490
342,4373
342,1551
342,1550
342,6980
342,860
342,12165
342,1827
342,1545
342,4670
342,11002
342,1829
342,4668
342,17557
342,4669
342,1826
342,2802
342,9071
342,692
342,2837
342,1830
342,1832
342,688
342,13280
342,2827
342,12086
342,18706
342,18705
342,7037
342,2794
342,11835
342,11836
342,1831
342,13294
342,11991
342,6779
342,12716
342,6494
342,17329
342,9070
342,4748
342,6892
342,2828
342,6884
342,17427
342,15862
342,8138
342,17571
342,13169
342,5445
342,794
342,9006
342,18337
342,13362
342,3037
342,3440
342,3438
342,3439
342,12556
342,996
342,12341
342,1003
342,11724
342,9365
342,15547
342,13808
342,13809
342,6331
342,15389
342,15388
342,6322
342,15387
342,6324
342,6326
342,6328
342,6329
342,6330
342,16932
342,10382
342,10386
342,10387
342,11223
342,5677
342,11242
342,11245
342,8970
342,10233
342,4943
342,4942
342,17152
342,4936
342,18691
342,17613
342,14557
342,19378
342,17348
342,10217
342,13095
342,2271
342,17342
342,810
342,809
342,808
342,806
342,9308
342,2302
342,18118
342,19047
342,18114
342,14852
342,13943
342,7731
342,5603
342,14853
342,19559
342,13038
342,19323
342,761
342,2784
342,11397
342,14139
342,5295
342,3895
342,16461
342,3891
342,3892
342,5710
342,3893
342,9382
342,18647
342,7613
342,7616
342,7615
342,7617
342,7620
342,19631
342,7768
342,2939
342,17903
342,17900
342,8293
342,14562
342,14564
342,18398
342,11955
342,18751
342,4301
342,11946
342,8462
342,3404
342,3405
342,3403
342,3408
342,3409
342,3406
342,1992
342,3410
342,2000
342,8789
342,7691
342,5210
342,5209
342,7698
342,9983
342,11148
342,11142
342,15081
342,11147
342,14301
342,8580
342,8581
342,8356
342,8575
342,19507
342,7184
342,12260
342,3013
342,3012
342,2091
342,17674
342,16384
342,1272
342,1274
342,13211
342,8220
342,8219
342,8315
342,3069
342,4636
342,15442
342,3072
342,4476
342,4474
342,6429
342,8305
342,14196
342,18565
342,4478
342,4477
342,14576
342,14575
342,6581
342,17515
342,11587
342,19326
342,6954
342,1519
342,11801
342,12563
342,13277
342,14726
342,9761
342,9271
342,9765
342,18685
342,16209
342,2790
342,2824
342,2792
342,2791
342,1058
342,10722
342,1443
342,7069
342,1064
342,9312
342,12709
342,4638
342,6877
342,18760
342,12849
342,11706
342,5242
342,3848
342,19546
342,3852
342,3661
342,8980
342,13352
342,7359
342,18873
342,11489
342,15324
342,976
342,13729
342,10603
342,15027
342,18993
342,10038
342,3422
342,10552
342,9250
342,9251
342,10040
342,5065
342,12727
342,6014
342,6646
342,15523
342,7407
342,15525
342,1189
342,14559
342,12491
342,3093
342,17556
342,874
342,12473
342,6334
342,6333
342,6332
342,6337
342,13358
342,6335
342,16942
342,13580
342,13578
342,17279
342,13575
342,14065
342,17544
342,8095
342,17160
342,10238
342,7879
342,14781
342,13883
342,17162
342,4912
342,2856
342,16076
342,16075
342,18206
342,12987
342,16078
342,17520
342,3965
342,14984
342,19716
342,9405
342,14060
342,815
342,18130
342,8451
342,19621
342,2306
342,2305
342,2303
342,4181
342,7720
342,4192
342,14356
342,19257
342,15637
342,15636
342,17872
342,3153
342,13441
342,13040
342,1427
342,13041
342,3095
342,14832
342,12968
342,7684
342,15386
342,13425
342,11496
342,10043
342,9463
342,12038
342,1574
342,7566
342,8736
342,10661
342,7266
342,18753
342,11957
342,18395
342,3420
342,3419
342,3418
342,3417
342,3412
342,17636
342,3413
342,2248
342,2249
342,8771
342,2247
342,5214
342,10475
342,2250
342,2251
342,9997
342,8587
342,14751
342,18367
342,8583
342,8582
342,16296
342,16294
342,10813
342,2104
342,2103
342,7187
342,3010
342,3009
342,10000
342,7192
342,10026
342,3007
342,3006
342,6126
342,2873
342,18494
342,19145
342,16386
342,1288
342,1285
342,1284
342,1286
342,1281
342,1283
342,18651
342,11108
342,12768
342,3811
342,18325
342,3812
342,5899
342,3051
342,3052
342,3050
342,18318
342,4654
342,15330
342,1260
342,1259
342,1258
342,1257
342,1930
342,15298
342,10281
342,10280
342,10279
342,18293
342,14546
342,14547
342,14949
342,14548
342,14549
342,14550
342,6476
342,12525
342,11575
342,9790
342,9794
342,6004
342,6005
342,1437
342,1436
342,1435
342,7054
342,1433
342,1432
342,1431
342,1430
342,1428
342,7013
342,6592
342,9317
342,2329
342,12212
342,15475
342,9318
342,15783
342,10356
342,6340
342,6060
342,6283
342,2709
342,8989
342,11838
342,17035
342,12113
342,13507
342,18726
342,17149
342,16969
342,13727
342,13723
342,12326
342,9236
342,1626
342,12938
342,4504
342,6843
342,5343
342,5344
342,651
342,5342
342,653
342,5346
342,13821
342,13820
342,6642
342,6345
342,6346
342,6458
342,6459
342,6460
342,6454
342,6455
342,6456
342,19142
342,8874
342,8314
342,17619
342,6461
342,6462
342,3503
342,14104
342,16869
342,3505
342,11258
342,5654
342,13581
342,10369
342,7823
342,11956
342,13868
342,12918
342,18936
342,19596
342,14500
342,14054
342,15778
342,10222
342,17167
342,16049
342,791
342,793
342,19255
342,16079
342,795
342,17523
342,1291
342,4650
342,1836
342,14966
342,19715
342,9754
342,12121
342,17508
342,14256
342,4201
342,4203
342,18153
342,18151
342,11690
342,17802
342,18155
342,17805
342,17799
342,19199
342,1646
342,2206
342,19166
342,2208
342,2207
342,15383
342,7586
342,7588
342,7591
342,7589
342,11488
342,19505
342,7594
342,11492
342,13642
342,19665
342,18948
342,12294
342,13568
342,7576
342,7575
342,1268
342,11500
342,7568
342,7567
342,15105
342,4183
342,7571
342,7574
342,14174
342,14173
342,19446
342,19447
342,12648
342,9999
342,9957
342,9337
342,16394
342,2242
342,10293
342,8774
342,11381
342,8594
342,8596
342,12945
342,7410
342,3028
342,3027
342,11810
342,18252
342,16103
342,11000
342,7202
342,12292
342,11451
342,7200
342,7198
342,12706
342,2749
342,11101
342,4618
342,8337
342,3053
342,3057
342,8334
342,4647
342,7592
342,6368
342,7993
342,10782
342,10783
342,11770
342,11771
342,14551
342,15174
342,14552
342,9274
342,693
342,2807
342,6102
342,2804
342,2803
342,2806
342,2805
342,6404
342,1848
342,9780
342,9290
342,1843
342,6013
342,1841
342,1842
342,1847
342,9289
342,1845
342,1846
342,17727
342,11826
342,6407
342,1458
342,1456
342,1457
342,11824
342,1041
342,11894
342,1126
342,7174
342,1587
342,15876
342,6403
342,5446
342,14467
342,13817
342,4787
342,4788
342,4785
342,18831
342,4783
342,4784
342,9302
342,1177
342,2720
342,2719
342,2716
342,2718
342,2712
342,2711
342,2714
342,2713
342,6450
342,9611
342,19336
342,9614
342,8691
342,17137
342,9233
342,10568
342,8426
342,9234
342,12308
342,16630
342,12312
342,6349
342,6347
342,4849
342,6350
342,5353
342,6351
342,6352
342,6354
342,4844
342,12998
342,16760
342,15921
342,6468
342,15469
342,6466
342,6465
342,6464
342,6463
342,14799
342,10050
342,3511
342,3507
342,14102
342,6708
342,4108
342,10372
342,4110
342,4104
342,4105
342,4106
342,4107
342,3696
342,3693
342,3694
342,14071
342,3701
342,9190
342,9191
342,19600
342,8080
342,8865
342,8075
342,8076
342,8077
342,15767
342,802
342,803
342,19580
342,17044
342,17041
342,19586
342,804
342,805
342,14678
342,15651
342,15650
342,5568
342,15648
342,15647
342,9349
342,4978
342,6483
342,17295
342,3165
342,18163
342,18159
342,15274
342,11328
342,8121
342,16530
342,3284
342,13216
342,14693
342,19658
342,5334
342,5335
342,5337
342,13428
342,17881
342,19383
342,7619
342,2617
342,2618
342,8432
342,4279
342,17905
342,10067
342,2614
342,2615
342,2616
342,10486
342,4395
342,10484
342,7674
342,9970
342,2041
342,2043
342,4242
342,4241
342,10285
342,7721
342,7718
342,7887
342,7884
342,12811
342,8796
342,8795
342,821
342,3018
342,3019
342,4358
342,14900
342,15563
342,4357
342,6185
342,14938
342,10525
342,15385
342,10754
342,12088
342,6183
342,13790
342,16159
342,14695
342,10351
342,1844
342,18362
342,6012
342,14390
342,18987
342,1488
342,14717
342,11094
342,8463
342,7299
342,5883
342,7301
342,5401
342,5875
342,1943
342,10080
342,4451
342,4452
342,10838
342,16518
342,1209
342,1942
342,19479
342,11136
342,11138
342,11398
342,9519
342,14375
342,10834
342,1229
342,19564
342,1854
342,2863
342,2864
342,2866
342,1853
342,1852
342,2762
342,13252
342,2763
342,2764
342,4548
342,6024
342,11670
342,4545
342,9400
342,7408
342,823
342,3407
342,1455
342,6023
342,3123
342,10824
342,9564
342,9566
342,10828
342,11846
342,8995
342,1112
342,9819
342,1582
342,1111
342,1578
342,3127
342,11840
342,11841
342,14499
342,14498
342,18491
342,14491
342,4780
342,2889
342,2890
342,2891
342,2892
342,4990
342,7014
342,7017
342,7019
342,1518
342,12131
342,12132
342,12130
342,14809
342,18871
342,16092
342,12299
342,13615
342,16856
342,15495
342,18790
342,991
342,12643
342,1030
342,16130
342,1028
342,11284
342,9224
342,9222
342,13638
342,12650
342,8953
342,5399
342,6362
342,6359
342,15514
342,6360
342,15915
342,6355
342,6356
342,15913
342,7434
342,6443
342,5206
342,6444
342,14732
342,6445
342,18747
342,14924
342,14923
342,11278
342,12437
342,5642
342,6707
342,1906
342,18898
342,15756
342,15375
342,9198
342,9197
342,9201
342,3686
342,4786
342,11315
342,12948
342,19572
342,18518
342,10197
342,9406
342,18326
342,15643
342,15645
342,14033
342,13247
342,14618
342,17736
342,16888
342,8817
342,16057
342,984
342,17496
342,4982
342,4983
342,17786
342,19064
342,16468
342,17781
342,17784
342,12207
342,7936
342,3311
342,5333
342,3308
342,19307
342,10569
342,2453
342,17857
342,18078
342,18077
342,13995
342,13997
342,13991
342,17863
342,14487
342,19393
342,19391
342,13548
342,18402
342,2610
342,18063
342,18058
342,19162
342,18060
342,19161
342,2608
342,2605
342,3310
342,7669
342,5234
342,5236
342,2039
342,5238
342,19486
342,5239
342,2034
342,5241
342,2032
342,2038
342,2037
342,2036
342,2035
342,4234
342,2253
342,2252
342,2254
342,16374
342,16373
342,17546
342,10657
342,2503
342,18100
342,8805
342,8806
342,3035
342,8803
342,8158
342,8804
342,18449
342,14594
342,11959
342,12076
342,15115
342,18052
342,16535
342,14979
342,14592
342,11133
342,14591
342,1271
342,18136
342,8360
342,4450
342,2341
342,12004
342,1277
342,14367
342,1218
342,14821
342,6032
342,6036
342,9285
342,6026
342,6040
342,17526
342,4961
342,1478
342,19204
342,18802
342,10830
342,13537
342,15344
342,3810
342,9810
342,9811
342,3813
342,3814
342,3815
342,11661
342,3817
342,11551
342,9813
342,9814
342,9016
342,16271
342,16272
342,7117
342,15047
342,10553
342,10060
342,6991
342,6983
342,15925
342,12122
342,1786
342,12286
342,6802
342,12289
342,1640
342,1641
342,1642
342,2493
342,15378
342,3857
342,1647
342,8866
342,4860
342,13831
342,12659
342,1036
342,1031
342,1032
342,1034
342,4730
342,663
342,4729
342,4726
342,4727
342,4724
342,4725
342,15935
342,6367
342,6365
342,6366
342,5406
342,4732
342,2490
342,19450
342,9586
342,6451
342,12869
342,18852
342,4295
342,13227
342,6449
342,8309
342,8703
342,18801
342,9211
342,5631
342,5630
342,9212
342,18309
342,15812
342,12785
342,3461
342,15353
342,13168
342,17061
342,12778
342,9764
342,775
342,11857
342,5587
342,3593
342,3596
342,5586
342,15664
342,15670
342,2350
342,2351
342,9901
342,9902
342,9906
342,2346
342,2347
342,9905
342,3303
342,2348
342,2349
342,3917
342,19535
342,3913
342,13012
342,14950
342,10565
342,10566
342,8889
342,3324
342,15755
342,17528
342,13524
342,8892
342,18056
342,7378
342,3243
342,8415
342,4298
342,8704
342,3245
342,8699
342,2057
342,15112
342,3860
342,19395
342,5246
342,6529
342,16236
342,8676
342,780
342,5247
342,5248
342,5249
342,5243
342,13475
342,5245
342,9933
342,779
342,2223
342,18874
342,17778
342,14675
342,10110
342,784
342,7927
342,17779
342,2507
342,10610
342,7757
342,10481
342,8151
342,3033
342,7464
342,8154
342,4346
342,1320
342,2217
342,16522
342,2218
342,1319
342,1318
342,2883
342,3578
342,2155
342,2156
342,2602
342,2154
342,5397
342,2157
342,11753
342,10545
342,8380
342,7537
342,2176
342,4440
342,8252
342,8544
342,10716
342,17621
342,18861
342,16200
342,9286
342,10132
342,12518
342,909
342,12010
342,12015
342,1244
342,10192
342,18805
342,14822
342,14965
342,2785
342,2786
342,5761
342,696
342,695
342,694
342,16178
342,5754
342,2847
342,2845
342,4564
342,1471
342,9759
342,4566
342,9258
342,18808
342,10185
342,2789
342,9547
342,18806
342,18807
342,10507
342,19579
342,1607
342,1606
342,1605
342,7787
342,14502
342,14439
342,14505
342,3032
342,19761
342,1654
342,6807
342,1649
342,16524
342,12750
342,11833
342,5809
342,16526
342,12632
342,5372
342,7990
342,14587
342,4737
342,4736
342,6428
342,13431
342,13218
342,13777
342,13217
342,6426
342,3531
342,11656
342,14964
342,876
342,13799
342,871
342,870
342,869
342,3530
342,9153
342,6723
342,4401
342,12381
342,12383
342,10240
342,8067
342,3668
342,3666
342,3671
342,6231
342,17026
342,14560
342,4805
342,19560
342,17356
342,17072
342,17074
342,17075
342,15150
342,8568
342,15198
342,5589
342,5590
342,12490
342,5597
342,10430
342,14103
342,11363
342,7517
342,13963
342,3604
342,17761
342,8565
342,15656
342,19652
342,14558
342,15407
342,11216
342,3257
342,3258
342,17713
342,15451
342,4876
342,17390
342,5807
342,14958
342,13008
342,7031
342,10544
342,11572
342,9288
342,7386
342,18039
342,18044
342,18043
342,2480
342,16688
342,19463
342,676
342,2488
342,2487
342,17228
342,6414
342,10316
342,19541
342,4022
342,16234
342,14566
342,4722
342,17836
342,19078
342,11436
342,10461
342,4719
342,10112
342,2212
342,8144
342,10015
342,2522
342,4350
342,8142
342,4718
342,8148
342,16230
342,671
342,1135
342,16583
342,9857
342,9858
342,7314
342,1324
342,5181
342,1323
342,17702
342,17703
342,13110
342,4150
342,14535
342,11754
342,15134
342,11234
342,8375
342,10266
342,10265
342,10183
342,19230
342,8534
342,8217
342,17530
342,9277
342,9278
342,6243
342,3199
342,7223
342,16615
342,9149
342,14866
342,9151
342,1869
342,18443
342,14961
342,2106
342,2844
342,2843
342,5973
342,11411
342,5770
342,2836
342,2839
342,2838
342,2840
342,2842
342,2841
342,15363
342,18226
342,9545
342,1487
342,4573
342,11128
342,10946
342,12786
342,1921
342,15340
342,6664
342,4199
342,7289
342,3995
342,2914
342,2913
342,14447
342,18840
342,6834
342,11566
342,10550
342,11536
342,18729
342,14741
342,12604
342,5073
342,1659
342,12755
342,3998
342,1660
342,7004
342,5799
342,5384
342,7021
342,3987
342,11811
342,5387
342,13836
342,18462
342,5801
342,4714
342,9167
342,4712
342,4713
342,14554
342,15447
342,1810
342,6439
342,1806
342,15548
342,6432
342,12879
342,12331
342,13204
342,1604
342,867
342,868
342,3979
342,16776
342,861
342,865
342,866
342,4413
342,3993
342,12397
342,18881
342,9163
342,9164
342,19680
342,19241
342,6116
342,12499
342,15837
342,15796
342,13710
342,18087
342,18588
342,17956
342,6504
342,12481
342,10735
342,2849
342,3622
342,8846
342,4191
342,2612
342,15683
342,11179
342,16040
342,13859
342,7783
342,2613
342,19316
342,19314
342,19315
342,13202
342,14881
342,6518
342,18202
342,4173
342,11900
342,15982
342,14099
342,14009
342,6104
342,17239
342,18032
342,8718
342,18034
342,18036
342,18030
342,17726
342,7640
342,3363
342,3362
342,3361
342,3360
342,3359
342,2065
342,13034
342,10485
342,17991
342,16952
342,1385
342,1388
342,1387
342,1390
342,1389
342,13458
342,11443
342,2826
342,4394
342,5650
342,4396
342,4397
342,4398
342,4399
342,4400
342,2528
342,12058
342,2620
342,17669
342,6282
342,14561
342,14738
342,3121
342,11226
342,5287
342,13111
342,4153
342,17916
342,7334
342,8411
342,5180
342,8235
342,8527
342,8228
342,14578
342,10516
342,6594
342,10147
342,10146
342,11017
342,16618
342,11015
342,9284
342,16482
342,9135
342,11066
342,1195
342,11064
342,8967
342,1190
342,3233
342,1188
342,2198
342,15054
342,18934
342,5741
342,5985
342,5983
342,5742
342,5743
342,11505
342,1485
342,9533
342,9532
342,14622
342,18233
342,1482
342,1484
342,19503
342,5264
342,1912
342,2053
342,1910
342,1909
342,5511
342,1102
342,13739
342,3818
342,3822
342,3820
342,3831
342,18266
342,1192
342,2653
342,7991
342,6384
342,6385
342,13640
342,6381
342,6382
342,1714
342,12920
342,3742
342,1662
342,9297
342,1661
342,12192
342,10495
342,8001
342,15310
342,12183
342,12186
342,10494
342,6416
342,6413
342,675
342,6411
342,6410
342,6417
342,4721
342,4720
342,668
342,667
342,674
342,673
342,672
342,6418
342,1816
342,1815
342,2877
342,8794
342,2886
342,2884
342,2881
342,2084
342,2885
342,15230
342,19011
342,13558
342,11294
342,13565
342,17209
342,892
342,1304
342,9170
342,9169
342,14325
342,9165
342,18204
342,15790
342,15793
342,19405
342,13834
342,13832
342,14378
342,7713
342,12507
342,12504
342,14876
342,12510
342,10526
342,8833
342,8837
342,5019
342,15698
342,13980
342,6179
342,16036
342,4900
342,7779
342,18175
342,17255
342,18178
342,2394
342,9357
342,2397
342,14490
342,14028
342,14095
342,15991
342,8918
342,14022
342,14021
342,16333
342,19457
342,7633
342,7367
342,17733
342,7371
342,3335
342,3337
342,3338
