,id_in_data
CID000004201,167
CID003081884,168
CID000005726,169
CID000004740,170
CID000003333,171
CID000000143,172
CID000213039,173
CID000072467,174
CID000077992,175
CID000002269,176
CID000002524,177
CID000004607,178
CID000005402,179
CID000002019,180
CID000002099,181
CID000003467,182
CID000003780,183
CID000054374,184
CID000012620,185
CID000003143,186
CID000004932,187
CID006918453,188
CID000003793,189
CID000005651,190
CID000032797,191
CID005362070,192
CID000048175,193
CID000005533,194
CID000004603,195
CID000002244,196
CID000004178,197
CID000005578,198
CID000003325,199
CID000027991,200
CID000004829,201
CID000000853,202
CID000004095,203
CID000005487,204
CID000039765,205
CID000002646,206
CID000123631,207
CID000001983,208
CID000014888,209
CID000004189,210
CID000060164,211
CID000004927,212
CID000057469,213
CID000003562,214
CID000005376,215
CID000027686,216
CID000001302,217
CID000002130,218
CID000005394,219
CID000216326,220
CID000005245,221
CID000004053,222
CID000005064,223
CID000002249,224
CID000147912,225
CID000004828,226
CID000002909,227
CID000005717,228
CID000004913,229
CID000004635,230
CID000004236,231
CID000002474,232
CID000003372,233
CID000004259,234
CID000002156,235
CID000004419,236
CID004659569,237
CID000000450,238
CID000003059,239
CID000005656,240
CID006436173,241
CID000004253,242
CID000002585,243
CID000003736,244
CID000125889,245
CID000002955,246
CID000003827,247
CID000005070,248
CID000163742,249
CID000091270,250
CID000004205,251
CID000005426,252
CID000004409,253
CID000002803,254
CID000004411,255
CID000003676,256
CID000002283,257
CID000004991,258
CID000003449,259
CID000002182,260
CID000005076,261
CID000002650,262
CID000003961,263
CID000004058,264
CID000002232,265
CID000004900,266
CID000002153,267
CID000019090,268
CID000004159,269
CID000004034,270
CID000003440,271
CID000004513,272
CID000005210,273
CID000004211,274
CID000005215,275
CID005481350,276
CID000004200,277
CID000001978,278
CID000003043,279
CID000176168,280
CID000005453,281
CID000005184,282
CID000005505,283
CID000004909,284
CID000004594,285
CID000004723,286
CID000004771,287
CID000003706,288
CID000003324,289
CID000003642,290
CID000003962,291
CID000056959,292
CID000004451,293
CID000003114,294
CID000003696,295
CID000002666,296
CID000002812,297
CID000002891,298
CID000119607,299
CID000005155,300
CID000002250,301
CID000003158,302
CID000104741,303
CID000060831,304
CID000003734,305
CID000004993,306
CID006398970,307
CID000003108,308
CID005493444,309
CID000005732,310
CID000002471,311
CID001349907,312
CID000004609,313
CID000004506,314
CID000003032,315
CID000002177,316
CID000176870,317
CID000002173,318
CID000000581,319
CID005381226,320
CID000002656,321
CID000065999,322
CID000005721,323
CID000005734,324
CID000060835,325
CID000002973,326
CID000013342,327
CID000064147,328
CID000004675,329
CID000004542,330
CID000151165,331
CID000005002,332
CID000002749,333
CID000060865,334
CID000003954,335
CID000068844,336
CID000005523,337
CID000005401,338
CID000001046,339
CID000039860,340
CID000003899,341
CID000005077,342
CID000060877,343
CID000002519,344
CID000004736,345
CID000000815,346
CID000657298,347
CID000003308,348
CID000005291,349
CID000005090,350
CID000115237,351
CID000003355,352
CID000003040,353
CID000504578,354
CID000036339,355
CID000060696,356
CID000041693,357
CID000003446,358
CID000005412,359
CID000003394,360
CID000003419,361
CID000002713,362
CID000003702,363
CID000000598,364
CID000000206,365
CID000002520,366
CID000005525,367
CID000002522,368
CID000004091,369
CID000005078,370
CID003086258,371
CID000005556,372
CID000003672,373
CID000004599,374
CID000002267,375
CID000004674,376
CID000003382,377
CID000002756,378
CID000004614,379
CID000002266,380
CID000003157,381
CID000060754,382
CID000003042,383
CID000002617,384
CID000004616,385
CID000004170,386
CID000036811,387
CID000072054,388
CID000060871,389
CID000004510,390
CID000003476,391
CID000004046,392
CID000003652,393
CID000002550,394
CID000059708,395
CID000150310,396
CID000093860,397
CID000002771,398
CID000001206,399
CID000123620,400
CID000005593,401
CID000005746,402
CID000002764,403
CID000004727,404
CID000003463,405
CID000003345,406
CID000003929,407
CID000153941,408
CID000005372,409
CID000000564,410
CID000003890,411
CID000003305,412
CID000002712,413
CID000065027,414
CID000002022,415
CID000003062,416
CID000004112,417
CID000002622,418
CID000002435,419
CID000047725,420
CID000054454,421
CID009571074,422
CID000002673,423
CID000003261,424
CID000003403,425
CID000002727,426
CID000005052,427
CID000054688,428
CID000004920,429
CID000003454,430
CID000003750,431
CID000002576,432
CID000002369,433
CID000444013,434
CID000005731,435
CID004479097,436
CID000001071,437
CID005282226,438
CID000004168,439
CID000005195,440
CID000060147,441
CID000000937,442
CID005281007,443
CID000003379,444
CID000060953,445
CID000170361,446
CID000002951,447
CID000002370,448
CID000002187,449
CID000054808,450
CID000003746,451
CID000003339,452
CID000002141,453
CID000002476,454
CID000003367,455
CID000047320,456
CID000005878,457
CID000072938,458
CID000002308,459
CID000051634,460
CID000002806,461
CID000005005,462
CID000002578,463
CID000051263,464
CID000003007,465
CID000003148,466
CID000003386,467
CID000003957,468
CID000000942,469
CID000005572,470
CID000004812,471
CID000060843,472
CID000003168,473
CID000005735,474
CID000054786,475
CID000002311,476
CID000003767,477
CID000002662,478
CID000002678,479
CID000004748,480
CID000004499,481
CID000003937,482
CID000443871,483
CID000005039,484
CID000002675,485
CID000003066,486
CID000002631,487
CID000027661,488
CID000004138,489
CID000034312,490
CID005311082,491
CID000004999,492
CID000002658,493
CID005473385,494
CID000005379,495
CID000003117,496
CID000083786,497
CID000005645,498
CID000004917,499
CID000003310,500
CID000041774,501
CID000004497,502
CID000005482,503
CID000003749,504
CID000006691,505
CID000003826,506
CID000003878,507
CID000003911,508
CID000150610,509
CID000002786,510
CID000028112,511
CID000002088,512
CID000002708,513
CID000005515,514
CID000060795,515
CID000003675,516
CID000002083,517
CID000005358,518
CID000004192,519
CID000002478,520
CID000002349,521
CID000004856,522
CID000004894,523
CID000005234,524
CID000004195,525
CID000010631,526
CID000002405,527
CID000005073,528
CID000005203,529
CID000004543,530
CID000001971,531
CID000000119,532
CID000002719,533
CID000000772,534
CID000003381,535
CID000003161,536
CID000004449,537
CID000005672,538
CID000005267,539
CID000003823,540
CID000003648,541
CID000000453,542
CID000087177,543
CID000004889,544
CID000041781,545
CID000002142,546
CID000002284,547
CID000110635,548
CID003062316,549
CID000152945,550
CID003468412,551
CID000002818,552
CID000004583,553
CID000003724,554
CID000004691,555
CID000110634,556
CID000004011,557
CID000002171,558
CID000002978,559
CID000005650,560
CID000005352,561
CID000005530,562
CID000082146,563
CID000003902,564
CID000002487,565
CID000004893,566
CID000004054,567
CID000003350,568
CID000002725,569
CID000003222,570
CID000003385,571
CID000667490,572
CID000071158,573
CID000160051,574
CID000003821,575
CID000001972,576
CID000005038,577
CID000005472,578
CID000004440,579
CID000005647,580
CID000004745,581
CID000000596,582
CID000002720,583
CID000005297,584
CID000003003,585
CID000003393,586
CID000000214,587
CID005281104,588
CID000005512,589
CID000005514,590
CID000001546,591
CID000001775,592
CID000002118,593
CID000060787,594
CID000001690,595
CID000003964,596
CID000002726,597
CID000001134,598
CID000000861,599
CID000004885,600
CID000004679,601
CID000003784,602
CID000003494,603
CID000004601,604
CID005311039,605
CID000005035,606
CID000002477,607
CID000003877,608
CID000003869,609
CID000003291,610
CID000000085,611
CID000004539,612
CID005311048,613
CID000002802,614
CID000000159,615
CID000003640,616
CID000002162,617
CID000003008,618
CID000040976,619
CID005353980,620
CID000003348,621
CID000003883,622
CID000154059,623
CID000003075,624
CID000005496,625
CID000004064,626
CID000004730,627
CID005487301,628
CID000004473,629
CID000003279,630
CID000003384,631
CID000057537,632
CID000054841,633
CID000004212,634
CID000004075,635
CID000054547,636
CID000000298,637
CID004475485,638
CID000003958,639
CID006447131,640
CID000004911,641
CID000003405,642
CID005493381,643
CID000005206,644
